CEP;CHAVE;UF;TIPO;TITULO;PREPOSICAO;NOME;BAIRRO1;BAIRRO2;LIMINFPAR;LIMINFIMPA;LIMSUPPAR;LIMSUPIMPA;FLAGS;LADOS
1421900;01000;SP;AL;;;ITU;CERQUEIRA CESAR;;433;433;433;433;6;34
1421901;01000;SP;AL;;;ITU;CERQUEIRA CESAR;;483;483;483;483;6;34
1421902;01000;SP;AL;;;ITU;CERQUEIRA CESAR;;1437;1437;1437;1437;6;34
1422000;01000;SP;AL;;;FRANCA;JARDIM PAULISTA;;0;0;802;801;0;34
1422001;01000;SP;AL;;;FRANCA;JARDIM PAULISTA;;804;803;99999999;99999999;0;34
1422010;01000;SP;PASS;;;FRANCA;JARDIM PAULISTA;;0;0;99999999;99999999;0;17
1422900;01000;SP;AL;;;FRANCA;JARDIM PAULISTA;;1050;1050;1050;1050;6;34
1423000;01000;SP;R;;;JOSE MARIA LISBOA;JARDIM PAULISTA;;0;0;620;619;0;34
1423001;01000;SP;R;;;JOSE MARIA LISBOA;JARDIM PAULISTA;;622;621;99999999;99999999;0;34
1423010;01000;SP;R;;;BATATAES;JARDIM PAULISTA;;0;0;99999999;99999999;0;17
1423020;01000;SP;R;CAP;;PINTO FERREIRA;JARDIM PAULISTA;;0;0;99999999;99999999;0;17
